ville, price, room_nb, bedroom_nb, surface, quartier
,365 000 €,2,1 ch.,25,
Paris 16 (75016),79 000 €,1,1 ch.,9,Paris
Paris 20 (75020),468 000 €,2,1 ch.,45,Paris
Paris 17 (75017),1 240 000 €,3,2 ch.,70,
Paris 16 (75016),1 490 000 €,5,3 ch.,120,Paris
Paris 17 (75017),65 000 €,1,,7,Paris 17ème
Paris 16 (75016),122 000 €,1,,8,Paris
Paris 16 (75116),125 000 €,1,,11,Paris
Paris 15 (75015),136 000 €,1,,11,Commerce Motte Picquet
Paris 04 (75004),141 000 €,1,,8,Paris 4ème
Paris 19 (75019),210 000 €,2,1 ch.,23,Paris 19ème
Paris 17 (75017),231 000 €,3,1 ch.,65,Paris 17ème
Paris 11 (75011),235 000 €,2,1 ch.,20,Paris 11ème
Paris 03 (75003),263 000 €,2,1 ch.,17,Paris 3ème
Paris 13 (75013),270 460 €,1,,23,Paris 13ème
Paris 04 (75004),315 000 €,1,,18,Paris 4ème
Paris 20 (75020),358 000 €,1,,33,Paris 20ème
Paris 07 (75007),359 000 €,1,,17,Paris 7ème
Paris 20 (75020),362 000 €,1,,33,Paris 20ème
Paris 04 (75004),367 500 €,1,,21,Paris 4ème
Paris 10 (75010),375 000 €,2,1 ch.,35,Paris 10ème
Paris 10 (75010),385 000 €,2,1 ch.,31,Paris 10ème
Paris 12 (75012),402 800 €,2,1 ch.,32,Paris 12ème
Paris 18 (75018),418 000 €,3,2 ch.,68,Paris 18ème
Paris 08 (75008),420 000 €,1,,26,Madeleine | St Augustin
Paris 13 (75013),540 000 €,2,1 ch.,46,Paris
Paris 13 (75013),1 119 600 €,4,3 ch.,86,Paris 13ème
Paris 18 (75018),1 365 000 €,5,4 ch.,96,Paris 18ème
Paris 14 (75014),2 780 000 €,3,2 ch.,107,Paris 14ème
Paris 14 (75014),4 475 000 €,5,4 ch.,155,Paris
Paris 10 (75010),148 302 €,1,1 ch.,12,
Paris 19 (75019),399 000 €,2,1 ch.,46,
Paris 18 (75018),421 000 €,3,2 ch.,46,Paris 18ème
Paris 06 (75006),425 000 €,1,,27,Paris 6ème
Paris 10 (75010),445 000 €,2,1 ch.,36,Paris 10ème
Paris 13 (75013),446 000 €,1,,31,Paris 13ème
Paris 16 (75116),452 400 €,2,1 ch.,36,Paris
Paris 08 (75008),470 000 €,1,,32,Paris 8ème
Paris 15 (75015),480 250 €,2,1 ch.,41,Montparnasse
Paris 18 (75018),490 000 €,4,3 ch.,80,Paris 18ème
Paris 16 (75016),490 000 €,2,1 ch.,44,Paris
Paris 06 (75006),495 000 €,1,,31,Paris 6ème
Paris 20 (75020),495 000 €,2,1 ch.,48,Paris 20ème
Paris 15ème (75015),495 000 €,2,1 ch.,39,
Paris 05 (75005),498 200 €,2,1 ch.,36,Paris 5ème
Paris 14 (75014),499 000 €,2,1 ch.,36,Paris 14ème
Paris 20 (75020),499 000 €,2,1 ch.,50,Paris 20ème
Paris 11 (75011),500 000 €,2,1 ch.,48,Paris 11ème
Paris 02 (75002),500 000 €,1,,38,Paris 2ème
Paris 18 (75018),500 000 €,3,1 ch.,47,Paris 18ème
Paris 12 (75012),502 000 €,2,1 ch.,42,Paris 12ème
Paris 12 (75012),502 000 €,2,1 ch.,42,Paris 12ème
Paris 06 (75006),375 000 €,1,,27,
Paris 15 (75015),505 000 €,2,1 ch.,44,Convention- Brancion
Paris 16 (75016),506 000 €,2,1 ch.,39,Paris
Paris 19 (75019),509 000 €,3,1 ch.,60,Métro Stalingrad
Paris 10 (75010),515 000 €,2,1 ch.,42,Paris 10ème
Paris 15 (75015),519 000 €,2,1 ch.,50,Paris 15ème
Paris 13 (75013),520 000 €,1,,34,Paris 13ème
Paris 06 (75006),540 000 €,1,,33,Paris 6ème
Paris 18 (75018),547 000 €,4,3 ch.,91,Paris 18ème
Paris 16 (75016),547 000 €,2,1 ch.,36,Paris
Paris 05 (75005),548 000 €,2,1 ch.,43,Paris 5ème
Paris 08 (75008),549 000 €,1,,37,Paris 8ème
Paris 16 (75016),549 000 €,2,1 ch.,46,Paris
Paris 16 (75016),550 000 €,2,1 ch.,37,Paris
Paris 14 (75014),550 000 €,2,1 ch.,45,Paris 14ème
Paris 09 (75009),550 000 €,2,1 ch.,35,Paris 9ème
Paris 20 (75020),558 000 €,3,2 ch.,56,Paris 20ème
Paris 17 (75017),565 000 €,2,1 ch.,45,Paris 17ème
Paris 13 (75013),576 000 €,2,1 ch.,50,Paris 13ème
Paris 16 (75016),580 000 €,2,1 ch.,36,Paris
Paris 05 (75005),585 000 €,2,1 ch.,33,Paris 5ème
Paris 19 (75019),328 600 €,1,,33,
Paris 20 (75020),595 000 €,3,2 ch.,75,Paris 20ème
Paris 02 (75002),598 000 €,2,1 ch.,39,Paris 2ème
Paris 17 (75017),599 000 €,3,1 ch.,64,Wagram - Perreire
Paris 02 (75002),600 000 €,2,1 ch.,48,Paris 2ème
Paris 13 (75013),629 500 €,3,2 ch.,64,Paris 13ème
Paris 08 (75008),630 000 €,3,1 ch.,57,Madeleine| St Augustin
Paris 14 (75014),635 000 €,3,2 ch.,48,Paris 14ème
Paris 20 (75020),639 300 €,3,2 ch.,69,Paris 20ème
Paris 05 (75005),640 000 €,2,1 ch.,52,Paris 5ème
Paris 17 (75017),645 000 €,3,2 ch.,67,Paris 17ème
Paris 04 (75004),650 000 €,2,1 ch.,42,Hôtel de Ville
Paris 15 (75015),650 000 €,4,3 ch.,110,Paris 15ème
Paris 20 (75020),660 000 €,5,3 ch.,80,Paris 20ème
Paris 17 (75017),665 000 €,3,2 ch.,64,Paris 17ème
Paris 19 (75019),685 000 €,3,2 ch.,64,Paris 19ème
Paris 15 (75015),685 000 €,2,1 ch.,45,Paris 15ème
Paris 15 (75015),690 000 €,3,2 ch.,44,Paris 15ème
Paris 08 (75008),690 000 €,2,1 ch.,29,Paris 8ème
Paris 15 (75015),698 000 €,3,2 ch.,75,Paris 15ème
Paris 14 (75014),700 000 €,3,2 ch.,54,Paris 14ème
Paris 14 (75014),650 000 €,1,,49,Paris
Paris 18 (75018),710 000 €,4,3 ch.,92,Paris 18ème
Paris 08 (75008),715 000 €,2,1 ch.,60,Paris 8ème
Paris 01 (75001),729 750 €,2,1 ch.,45,Paris 1er
Paris 15 (75015),749 000 €,3,2 ch.,65,Paris 15ème
Paris 08 (75008),750 000 €,1,,33,Paris 8ème
Paris 20 (75020),760 000 €,3,2 ch.,77,Maraîchers
Paris 04 (75004),770 000 €,2,1 ch.,60,Paris 4ème
Paris 12 (75012),790 000 €,3,2 ch.,71,Paris 12ème
Paris 17 (75017),799 000 €,3,2 ch.,71,Paris 17ème
Paris 16 (75016),800 000 €,2,1 ch.,35,Paris
Paris 08 (75008),820 000 €,2,1 ch.,45,Paris 8ème
Paris 06 (75006),825 000 €,2,1 ch.,48,Paris 6ème
Paris 18 (75018),829 000 €,2,1 ch.,44,Paris 18ème
Paris 16 (75116),835 000 €,3,2 ch.,57,Paris
Paris 16 (75016),849 000 €,2,1 ch.,55,Paris
Paris 16 (75016),850 000 €,3,2 ch.,75,Paris
Paris 10 (75010),855 000 €,3,2 ch.,68,Paris 10ème
Paris 08 (75008),866 250 €,2,1 ch.,54,Paris 8ème
Paris 16 (75016),885 000 €,4,3 ch.,85,Paris
Paris 06 (75006),889 000 €,2,1 ch.,51,Paris 6ème
Paris 19 (75019),328 600 €,1,,33,
Paris 06 (75006),892 500 €,1,,48,Paris 6ème
Paris 03 (75003),892 500 €,3,2 ch.,62,Paris 3ème
Paris 17 (75017),895 000 €,3,1 ch.,84,Villiers
Paris 16 (75016),895 000 €,3,2 ch.,66,Paris
Paris 16 (75116),915 000 €,5,2 ch.,150,Paris
Paris 12 (75012),915 000 €,3,2 ch.,83,Paris 12ème
Paris 16 (75016),920 000 €,3,2 ch.,63,Paris
Paris 08 (75008),935 000 €,2,1 ch.,66,Faubourg du Roule
Paris 16 (75016),949 000 €,4,2 ch.,80,Paris
Paris 16 (75016),950 000 €,3,2 ch.,65,Paris
Paris 20 (75020),950 000 €,5,3 ch.,106,Paris 20ème
Paris 16 (75116),955 000 €,3,1 ch.,80,Paris
Paris 16 (75016),969 000 €,4,2 ch.,94,Paris
Paris 03 (75003),975 000 €,3,2 ch.,78,Paris 3ème
Paris 01 (75001),976 500 €,4,1 ch.,57,Louvre - Palais Royal
Paris 18 (75018),995 000 €,4,2 ch.,110,Paris 18ème
Paris 06 (75006),995 000 €,2,1 ch.,62,Paris 6ème
Paris 05 (75005),997 500 €,3,2 ch.,63,Paris 5ème
Paris 16 (75016),1 000 000 €,5,3 ch.,81,Paris
Paris 10 (75010),1 025 000 €,4,3 ch.,97,Paris 10ème
Paris 20 (75020),420 000 €,2,1 ch.,42,
Paris 14 (75014),1 030 000 €,5,3 ch.,89,Paris 14ème
Paris 19 (75019),1 050 000 €,4,3 ch.,122,Paris 19ème
Paris 02 (75002),1 050 000 €,3,2 ch.,85,Paris 2ème
Paris 16 (75016),1 090 000 €,4,2 ch.,89,Paris
Paris 04 (75004),1 090 000 €,3,1 ch.,88,Paris 4ème
Paris 13 (75013),1 090 000 €,3,2 ch.,80,Paris 13ème
Paris 10 (75010),1 100 000 €,4,3 ch.,92,Paris 10ème
Paris 15 (75015),1 100 000 €,4,3 ch.,74,Paris 15ème
