,ville_raw,quartier_raw,price_raw,room_nb_raw,bedroom_nb_raw,surface_raw
0,Paris 16ème,Chaillot,6300000,5,1,230.0
1,,,2547000,6,3,197.39
3,Paris 19ème,Buttes Chaumont,767000,2,1,59.8
4,Paris 9ème,Trudaine-Maubeuge,2900000,8,5,234.69
5,Paris 16ème,Muette Nord,5950000,8,5,350.0
6,Paris 16ème,Muette Sud,1300000,5,3,104.8
8,Paris 16ème,Muette Nord,310,10,5,333.0
9,Paris 4ème,Île Saint Louis,2800000,5,3,95.0
10,Paris 15ème,Georges Brassens,440000,2,1,41.0
11,Paris 15ème,Georges Brassens,367500,3,1,41.87
12,Paris 18ème,Grandes Carrières-Clichy,897000,4,3,89.0
13,Paris 16ème,Porte Dauphine,3397000,7,4,264.6
14,Paris 18ème,Goutte d'Or-Château Rouge,625000,2,1,51.4
15,Paris 18ème,Montmartre,395000,2,1,31.0
16,Paris 18ème,Clignancourt-Jules Joffrin,445000,2,1,40.0
17,Paris 12ème,Jardin de Reuilly,645000,4,3,67.0
18,Paris 18ème,Grandes Carrières-Clichy,1110000,4,2,81.74
19,Paris 3ème,Arts et Métiers,1330000,3,2,73.75
20,Paris 14ème,Raspail-Montparnasse,1785000,3,2,90.0
21,Paris 3ème,Enfants Rouges,1595000,4,2,124.37
22,Paris 17ème,Champerret-Berthier,2230000,9,5,206.0
23,Paris 16ème,Porte Dauphine,1160000,3,2,87.65
24,Paris 18ème,Montmartre,530000,2,1,38.0
25,,,1100000,3,2,83.0
26,Paris 14ème,Raspail-Montparnasse,1785000,3,1,90.0
27,Paris 8ème,Triangle d'Or,1590000,4,2,102.0
28,Paris 15ème,Vaugirard-Parc des Expositions,749000,3,2,80.0
29,Paris 11ème,Bastille-Popincourt,693000,2,1,48.0
30,Paris 3ème,Archives,1200000,2,1,72.66
31,Paris 4ème,Arsenal,3300000,5,3,228.0
32,Paris 1er,Palais Royal,310,5,2,171.0
33,Paris 8ème,Elysées-Madeleine,1895000,7,4,180.34
34,Paris 17ème,La Fourche-Guy Môquet,419000,2,1,40.0
35,Paris 10ème,Chateau d'Eau-Lancry,399000,2,1,39.0
37,Paris 5ème,Val de Grace,775000,2,1,61.0
38,Paris 18ème,Grandes Carrières-Clichy,730000,3,2,57.29
39,Paris 14ème,Raspail-Montparnasse,2169000,6,4,170.0
40,Paris 8ème,Parc Monceau,5450000,10,6,354.0
41,Paris 14ème,Raspail-Montparnasse,2250000,4,3,106.84
42,Paris 8ème,Elysées-Madeleine,2600000,6,4,175.0
43,Paris 10ème,Chateau d'Eau-Lancry,645000,3,2,62.0
44,Paris 14ème,Didot-Porte de Vanves,650000,3,1,65.0
45,Paris 16ème,Chaillot,595000,2,1,33.0
46,Paris 17ème,Legendre-Lévis,850000,4,3,102.95
47,,,495000,2,1,48.0
48,Paris 18ème,Amiraux-Simplon-Poissonniers,399500,2,1,43.0
49,,,1330000,3,2,73.75
50,Paris 6ème,Odéon,2990000,5,4,163.73
51,Paris 18ème,Amiraux-Simplon-Poissonniers,399500,2,1,43.0
52,Paris 16ème,Auteuil Nord,790000,3,2,75.88
53,Paris 11ème,Nation-Alexandre Dumas,932000,4,2,73.0
54,Paris 13ème,Salpêtrière-Austerlitz,585000,2,1,52.65
55,Paris 16ème,Muette Nord,820000,2,1,57.68
56,Paris 15ème,Emeriau-Zola,1295000,4,3,82.0
58,Paris 15ème,Dupleix-Motte Picquet,1135000,3,2,70.0
59,Paris 3ème,Enfants Rouges,855000,3,2,69.0
60,Paris 14ème,Didot-Porte de Vanves,1750000,6,4,130.0
61,Paris 8ème,Elysées-Madeleine,1990000,5,3,130.0
62,Paris 17ème,Ternes-Maillot,1040000,4,2,77.0
63,Paris 16ème,Muette Nord,2230000,7,4,215.0
64,Paris 15ème,Alleray Procession,498750,2,1,54.63
65,Paris 14ème,Didot-Porte de Vanves,795000,2,1,69.0
67,Paris 15ème,Vaugirard-Parc des Expositions,922200,3,2,71.0
68,Paris 7ème,Saint Thomas d'Aquin,3750000,4,3,141.86
69,Paris 7ème,Gros Caillou,3300000,6,4,229.0
70,Paris 19ème,Danube-Porte des Lilas,485000,2,1,43.72
71,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,1200000,5,3,108.0
72,Paris 16ème,Chaillot,3339000,7,4,264.0
73,Paris 20ème,Amandiers,490000,2,1,41.72
74,Paris 14ème,Didot-Porte de Vanves,795000,2,1,69.0
76,Paris 19ème,Danube-Porte des Lilas,485000,2,1,43.72
77,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,1200000,5,3,108.0
78,Paris 20ème,Amandiers,490000,2,1,41.72
79,Paris 16ème,Porte Dauphine,2850000,6,3,201.08
80,Paris 16ème,Chaillot,3300000,4,2,185.0
81,Paris 18ème,Montmartre,1590000,5,3,134.1
82,Paris 8ème,Triangle d'Or,1990000,4,3,124.8
83,Paris 11ème,République-Saint Ambroise,1664000,5,2,115.0
84,Paris 20ème,Télégraphe-Pelleport Saint Fargeau,899000,4,3,99.0
85,Paris 17ème,Pereire-Malesherbes,935000,5,3,98.0
86,Paris 12ème,Aligre-Gare de Lyon,1500000,8,6,148.0
87,Paris 16ème,Muette Nord,1300000,4,2,90.0
88,Paris 11ème,République-Saint Ambroise,895000,3,2,70.83
89,Paris 5ème,Sorbonne,2550000,4,3,115.0
90,Paris 5ème,Sorbonne,575000,2,1,46.0
91,Paris 9ème,Trudaine-Maubeuge,740000,2,1,52.42
92,Paris 16ème,Auteuil Sud,1144000,3,2,94.0
93,Paris 18ème,Grandes Carrières-Clichy,1458330,6,5,148.43
94,Paris 13ème,Salpêtrière-Austerlitz,616000,2,1,44.0
95,Paris 8ème,Parc Monceau,2100000,3,2,80.0
96,Paris 20ème,Gambetta,1500000,6,3,135.0
97,Paris 15ème,Pasteur Montparnasse,4700000,7,5,235.0
98,Paris 13ème,Bièvres Sud Tolbiac,1670000,6,5,159.0
99,Paris 13ème,Bièvres Sud Tolbiac,1670000,6,5,159.0
100,Paris 16ème,Muette Nord,799000,2,1,65.0
101,Paris 8ème,Elysées-Madeleine,1750000,3,2,76.0
102,Paris 16ème,Auteuil Nord,1287500,3,1,97.45
103,,,2500000,4,2,136.58
104,Paris 5ème,Jardin des Plantes,880000,2,1,62.0
105,Paris 15ème,Citroën-Boucicaut,599000,3,2,52.26
106,Paris 17ème,Pereire-Malesherbes,1578000,3,2,97.74
107,Paris 3ème,Enfants Rouges,820000,2,1,56.01
108,Paris 8ème,Triangle d'Or,3980000,6,4,192.0
109,Paris 14ème,Didot-Porte de Vanves,1100000,5,3,114.75
110,Paris 15ème,Vaugirard-Parc des Expositions,540000,2,1,62.0
111,Paris 11ème,Belleville-Saint Maur,925000,3,2,68.0
112,Paris 4ème,Arsenal,2110000,4,3,133.0
113,Paris 4ème,Saint Merri,1370000,4,3,105.0
114,Paris 12ème,Bel-Air Sud,650000,3,2,63.0
115,Paris 11ème,Nation-Alexandre Dumas,447000,2,1,39.0
116,Paris 16ème,Chaillot,835000,3,2,57.0
117,Paris 8ème,Triangle d'Or,765000,2,1,47.65
118,Paris 18ème,Clignancourt-Jules Joffrin,1600000,5,3,115.0
119,Paris 18ème,Montmartre,880000,4,2,61.0
120,Paris 16ème,Porte Dauphine,1895000,5,3,135.0
121,Paris 8ème,Triangle d'Or,1590600,4,3,94.0
122,Paris 18ème,Montmartre,1990000,5,3,119.0
123,,,2900000,6,4,187.0
124,Paris 17ème,Batignolles-Cardinet,1895000,7,4,180.34
125,Paris 14ème,Didot-Porte de Vanves,1100000,5,3,114.75
126,Paris 15ème,Vaugirard-Parc des Expositions,540000,2,1,62.0
127,Paris 14ème,Mouton Duvernet,1222720,3,2,107.0
128,Paris 11ème,Belleville-Saint Maur,925000,3,2,68.0
129,,,429000,2,1,35.0
130,Paris 12ème,Bel-Air Sud,650000,3,2,63.0
131,Paris 16ème,Chaillot,835000,3,2,57.0
132,Paris 8ème,Elysées-Madeleine,2133797,5,3,134.1
133,Paris 4ème,Saint Gervais,1185000,4,2,72.0
134,Paris 20ème,Gambetta,995000,5,3,108.5
136,Paris 18ème,Montmartre,599000,2,1,53.14
137,Paris 18ème,La Chapelle-Marx Dormoy,290000,2,1,35.0
138,Paris 16ème,Auteuil Sud,630000,2,1,51.0
139,Paris 9ème,Lafayette-Richer,305000,2,1,24.0
140,Paris 16ème,Chaillot,3339000,7,4,262.0
141,Paris 14ème,Raspail-Montparnasse,4500000,5,4,156.0
142,Paris 16ème,Auteuil Sud,1290000,5,3,130.0
143,Paris 14ème,Montsouris Dareau,2290000,8,6,180.0
144,Paris 16ème,Muette Nord,3950000,7,4,267.0
145,Paris 3ème,Archives,690000,2,1,47.0
147,Paris 14ème,Jean Moulin-Porte d'Orléans,650000,4,2,65.0
148,Paris 17ème,La Fourche-Guy Môquet,722000,3,2,64.0
149,Paris 16ème,Auteuil Sud,630000,2,1,51.0
150,Paris 16ème,Chaillot,3339000,7,4,262.0
151,Paris 14ème,Raspail-Montparnasse,4500000,5,4,156.0
152,Paris 18ème,Amiraux-Simplon-Poissonniers,685000,4,3,79.0
153,Paris 1er,Les Halles,2750000,5,3,156.02
154,Paris 14ème,Montsouris Dareau,2290000,8,6,180.0
156,Paris 14ème,Jean Moulin-Porte d'Orléans,650000,4,2,65.0
157,,,2580000,5,3,112.12
158,Paris 18ème,La Chapelle-Marx Dormoy,328000,2,1,33.63
159,Paris 15ème,Dupleix-Motte Picquet,1230000,6,3,130.98
160,,,852800,4,3,95.03
161,Paris 14ème,Jean Moulin-Porte d'Orléans,1346000,5,4,112.5
162,Paris 14ème,Didot-Porte de Vanves,695000,4,2,67.0
163,Paris 15ème,Alleray Procession,2995000,8,5,353.0
164,Paris 13ème,Buttes Aux Cailles-Glacière,585000,3,2,74.99
165,Paris 18ème,Grandes Carrières-Clichy,1120000,4,2,89.0
166,Paris 15ème,Violet Commerce,1450000,4,3,95.0
167,Paris 7ème,Ecole Militaire,2255000,5,4,139.3
168,Paris 14ème,Pernety,795000,2,1,69.0
169,Paris 12ème,Bel-Air Sud,760000,4,2,75.93
170,Paris 14ème,Pernety,1090000,5,3,114.11
171,Paris 4ème,Arsenal,1290000,3,2,92.0
172,Paris 6ème,Monnaie,4100000,7,4,175.0
173,Paris 12ème,Nation-Picpus,494000,3,2,53.46
174,Paris 14ème,Didot-Porte de Vanves,1190000,4,3,78.0
175,Paris 9ème,Provence Opéra,1672000,3,2,86.92
176,,,1672000,3,2,86.92
177,Paris 16ème,Porte Dauphine,2150000,6,4,228.0
178,Paris 8ème,Triangle d'Or,1200000,2,1,66.0
179,Paris 15ème,Dupleix-Motte Picquet,1860000,6,4,121.9
180,Paris 16ème,Auteuil Sud,850000,2,1,48.69
181,Paris 8ème,Triangle d'Or,1795000,2,1,79.64
182,Paris 12ème,Bois de Vincennes,695000,2,1,63.0
183,Paris 12ème,Bel-Air Sud,650000,3,2,62.88
184,Paris 18ème,Grandes Carrières-Clichy,680000,2,1,54.0
185,Paris 16ème,Chaillot,4985000,7,4,245.0
186,Paris 9ème,Provence Opéra,1362000,4,3,109.61
187,Paris 11ème,Belleville-Saint Maur,1020000,4,2,92.0
188,Paris 16ème,Muette Sud,1360000,3,2,92.0
190,Paris 6ème,Odéon,640000,2,1,41.0
191,Paris 17ème,Ternes-Maillot,2547000,6,3,198.0
192,Paris 16ème,Muette Sud,1685000,5,3,136.0
194,Paris 16ème,Muette Nord,2580000,5,3,165.2
195,Paris 6ème,Saint Placide,2055000,5,3,136.13
196,Paris 15ème,Emeriau-Zola,1470000,5,3,108.33
197,Paris 16ème,Muette Nord,2900000,7,5,243.0
198,Paris 16ème,Muette Nord,6300000,5,1,236.8
200,Paris 15ème,Georges Brassens,968000,5,3,105.18
201,Paris 6ème,Rennes,807000,2,1,52.0
202,Paris 7ème,Ecole Militaire,2300000,6,4,210.0
203,Paris 18ème,Montmartre,599000,2,1,53.14
204,Paris 15ème,Dupleix-Motte Picquet,1790000,4,3,93.37
205,Paris 9ème,Lafayette-Richer,305000,2,1,24.0
